Master Spreadsheet Sub Area,Master Spreadsheet Topic,Policy Area,Sub Area,Topic,Summary,Comments
,,Infrastructure and Smart Growth,Infrastructure Financing,Regional Tax Base Sharing,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Revolving Loan Fund or Tax Credits for Building Energy Improvements,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Rooftop Farming,,
internet Access,Rural Broadband,Infrastructure and Smart Growth,Internet Access,Rural Broadband,,
Land Use,Structures and Dredging ,Infrastructure and Smart Growth,Land Use and Building Standards,Structures and Dredging,,
Roads and Transportation,Tort Liability and Roadway Design,Infrastructure and Smart Growth,Roads and Transportation,Tort Liability and Roadway Design,,
Roads and Transportation,Transit-Oriented Development (Tod)/ increased Funding For Public Transit,Infrastructure and Smart Growth,Roads and Transportation,Transit-Oriented Development,,
Roads and Transportation,"Tdm (Pricing, Vanpools, Facility Siting, Etc.)",Infrastructure and Smart Growth,Roads and Transportation,Transportation Demand Management,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Universal Design on Accessible and Usable Buildings,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Urban Agriculture Zoning,,
Land Use,Urban Farming,Infrastructure and Smart Growth,Land Use and Building Standards,Urban Farming,,
Land Use,Land Value Tax (Split Rate Tax),Infrastructure and Smart Growth,Land Use and Building Standards,Value Capture Finance,,
Work Family Balance,4-Day Workweek,Labor Rights and Protections,Work Family Balance,4-Day Workweek,,
,,Labor Rights and Protections,Work Family Balance,After-School Programs,,
,,Labor Rights and Protections,Job and Workplace Standards,Anti-Sweatshop Procurement Policies,,
,,Labor Rights and Protections,Contingent Workers,Banning Non-Compete Agreements,,
,,Labor Rights and Protections,Job and Workplace Standards,Banning Non-Compete Agreements,,
,,Labor Rights and Protections,Unions and Collective Bargaining Rights,Collective Bargaining for Child Care Workers,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Community Benefits Agreement,,
,,Labor Rights and Protections,Wages and Compensation,Community Benefits Agreement,,
Wage and Labor Standards,Day Care Worker Unionization Rights,Labor Rights and Protections,Unions and Collective Bargaining Rights,Day Care Worker Unionization Rights,,"Missing ""Requiring just cause for dismissal"" that is on master spreadsheet. I have added the asset under this topic to the asset spreadsheet. - BN 8/15"
Work Family Balance,Dependent Care Tax Credit,Labor Rights and Protections,Work Family Balance,Dependent Care Tax Credit,,
Wage and Labor Standards,Displaced Property Service Worker Protection,Labor Rights and Protections,Access to Employment and Job Protection,Displaced Property Service Worker Protection,,
,,Labor Rights and Protections,Job and Workplace Standards,Domestic Worker Wage and Hour Protection and Rights Disclosure,,
Wage and Labor Standards,Domestic Worker Wage and Hour Protection and Rights Disclosure,Labor Rights and Protections,Wages and Compensation,Domestic Worker Wage and Hour Protection and Rights Disclosure,,
,,Labor Rights and Protections,Wages and Compensation,Early Child Care Educator Wage Ladder,,
,,Labor Rights and Protections,Wages and Compensation,Earned income Tax Credit and Tax Exemptions,,
,,Labor Rights and Protections,Access to Employment and Job Protection,"Employee Protection From ""No Match"" Letters",,
,,Labor Rights and Protections,Job and Workplace Standards,Employee Username and Password Confidentiality,,
,,Labor Rights and Protections,Wages and Compensation,Employer Health Care Disclosure,,
,,Labor Rights and Protections,Wages and Compensation,Employer-Assisted Housing Tax Credit,,
Wage and Labor Standards,Equal Access To Employment For People With Criminal Records,Labor Rights and Protections,Access to Employment and Job Protection,Equal Access to Employment for People with Criminal Records,,
Wage and Labor Standards,Equal Pay Remedies and Enforcement,Labor Rights and Protections,Wages and Compensation,Equal Pay Remedies and Enforcement,,
Wage and Labor Standards,Equity in Wages,Labor Rights and Protections,Wages and Compensation,Equity in Wages,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Evidence-Based Privatization,,
Work Family Balance,Expand Availability and Affordability of Childcare,Labor Rights and Protections,Work Family Balance,Expand Availability and Affordability of Childcare,,
,,Labor Rights and Protections,Wages and Compensation,Expanded Paid Family Leave,,
Work Family Balance,Expanded Family Leave (Paid Family Leave),Labor Rights and Protections,Work Family Balance,Expanded Paid Family Leave,,
,,Labor Rights and Protections,Wages and Compensation,Expanded Unpaid Family Leave,,
Work Family Balance,Expanded Unpaid Leave,Labor Rights and Protections,Work Family Balance,Expanded Unpaid Family Leave,,
Wage and Labor Standards,Extend Prevailing Wage To Building and Other Service Workers,Labor Rights and Protections,Wages and Compensation,Extend Prevailing Wage to Building and Other Service Workers,,
,,Labor Rights and Protections,Wages and Compensation,Fair Share Health Care,,
Organizing and Meeting in Workplace,Fair Share Statutes: Collecting Fees For Collective Bargaining,Labor Rights and Protections,Unions and Collective Bargaining Rights,Fair Share Rights,,
,,Labor Rights and Protections,Wages and Compensation,Flexible Use of Existing Sick Leave,,
Work Family Balance,Flexible Use of Existing Sick Leave,Labor Rights and Protections,Work Family Balance,Flexible Use of Existing Sick Leave,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Government Procurement Anti-offshoring,,
,,Labor Rights and Protections,Wages and Compensation,Health Care for Employees of Small and Medium Sized Businesses and Self Employed Individuals,,
Wage and Labor Standards,Home Health Care Unionization Rights,Labor Rights and Protections,Unions and Collective Bargaining Rights,Home Health Care Unionization Rights,,
Organizing and Meeting in Workplace,increase Free Speech Access To Employer Property,Labor Rights and Protections,Job and Workplace Standards,Increase Free Speech Access to Employer Property,,
Wage and Labor Standards,independent Contract Reform,Labor Rights and Protections,Contingent Workers,Independent Contractor Reform,,
Other Worker Protections,independent Medical Exams,Labor Rights and Protections,Workers' Compensation,Independent Medical Exams,,
Wage and Labor Standards,industry-Specific Wage Standards,Labor Rights and Protections,Wages and Compensation,Industry Specific Wage Standards,,
,,Labor Rights and Protections,Wages and Compensation,Limited English Proficiency Access to Work-Related Benefits,,
,,Labor Rights and Protections,Wages and Compensation,Living Wage Requirements in Government Contracts,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Local Hiring Preferences,,
Organizing and Meeting in Workplace,Majority Sign-Up For Workers Not Covered By Nlra,Labor Rights and Protections,Unions and Collective Bargaining Rights,Majority Sign-Up for Workers Not Covered by the National Labor Relations Act (NLRA),,
Wage and Labor Standards,Minimum Wage - increase and index,Labor Rights and Protections,Wages and Compensation,Minimum Wage Increase and Index,,
,,Labor Rights and Protections,Wages and Compensation,On Site Employee Health Center,,
Wage and Labor Standards,Overtime Pay,Labor Rights and Protections,Wages and Compensation,Overtime Pay,,
,,Labor Rights and Protections,Wages and Compensation,Paid Sick Days,,
Work Family Balance,Paid Sick Days,Labor Rights and Protections,Work Family Balance,Paid Sick Days,,
,,Labor Rights and Protections,Contingent Workers,Part-Time Parity for Benefits,,
,,Labor Rights and Protections,Wages and Compensation,Part-Time Parity for Benefits,,
Work Family Balance,Part-Time Parity For Benefits,Labor Rights and Protections,Work Family Balance,Part-Time Parity for Benefits,,
Other Worker Protections,Payroll Card Protections,Labor Rights and Protections,Wages and Compensation,Payroll Card Protections,,
Organizing and Meeting in Workplace,Forbidding Employers From Retaliating Against Employees For Engagement in Political Activity,Labor Rights and Protections,Job and Workplace Standards,Prevent Retaliation Against Employee Engaging in Political Activity,,
Wage and Labor Standards,Prevent Retaliation Against Employees Making Workers Comp Claims,Labor Rights and Protections,Job and Workplace Standards,Prevent Retaliation Against Employees Making Workers Compensation Claims,,
,,Labor Rights and Protections,Workers' Compensation,Prevent Retaliation Against Employees Making Workers Compensation Claims,,
,,Labor Rights and Protections,Job and Workplace Standards,Prohibit Mandatory Overtime,,
Work Family Balance,Prohibit Mandatory Overtime ,Labor Rights and Protections,Work Family Balance,Prohibit Mandatory Overtime,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Prohibiting Discrimination Against Job Applicants Based on Their Current Employment Status,,
Organizing and Meeting in Workplace,Prohibition On Mandatory Workplace Meetings (Workplace Freedom Act),Labor Rights and Protections,Job and Workplace Standards,Prohibition on Mandatory Workplace Meetings,,
,,Labor Rights and Protections,Unions and Collective Bargaining Rights,Prohibition on Mandatory Workplace Meetings,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Project Labor Agreements and Community Workforce Agreements,,
,,Labor Rights and Protections,Wages and Compensation,Project Labor Agreements and Community Workforce Agreements,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Regulation of Government Use of Private Contractors,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Reintegration of Ex-offenders,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Requiring Just Cause For Dismissal,,
,,Labor Rights and Protections,Job and Workplace Standards,Requiring Just Cause For Dismissal,,
,,Labor Rights and Protections,Job and Workplace Standards,Right to Nurse in Workplace,,
Work Family Balance,Right To Nurse in Workplace,Labor Rights and Protections,Work Family Balance,Right to Nurse in Workplace,,
,,Labor Rights and Protections,Wages and Compensation,Social Security Income and Social Security Disability Income Tax Credit,,
,,Labor Rights and Protections,Wages and Compensation,Social Security Reform,,
,,Labor Rights and Protections,Job and Workplace Standards,Special Protections to Non-English Speaking Employees,,
Organizing and Meeting in Workplace,State Neutrality in Labor Organizing,Labor Rights and Protections,Unions and Collective Bargaining Rights,State Neutrality in Labor Organizing,,
Other Worker Protections,Stop Abusive Credit inquiries By Employers,Labor Rights and Protections,Job and Workplace Standards,Stop Abusive Credit Inquiries by Employers,,
Wage and Labor Standards,Strengthening Dol Authority Over independent Contractors,Labor Rights and Protections,Contingent Workers,Strengthening Department of Labor Authority Over Independent Contractors,,
,,Labor Rights and Protections,Job and Workplace Standards,Subsidy Limits and Job Quality Standards,,
Wage and Labor Standards,Successor Firm Job Security,Labor Rights and Protections,Access to Employment and Job Protection,Successor Firm Job Security,,
Wage and Labor Standards,Temporary Workers' Bill of Rights,Labor Rights and Protections,Contingent Workers,Temporary Workers' Bill of Rights,,
,,Labor Rights and Protections,Job and Workplace Standards,Temporary Workers' Bill of Rights,,
,,Labor Rights and Protections,Wages and Compensation,Temporary Workers' Bill of Rights,,
Work Family Balance,Time off For Childrens' Educational Activities,Labor Rights and Protections,Work Family Balance,Time off for Children's Educational Activities,,
,,Labor Rights and Protections,Unions and Collective Bargaining Rights,Union-Member Confidentiality Protection,,
,,Labor Rights and Protections,Work Family Balance,Universal Pre-K Education,,
,,Labor Rights and Protections,Wages and Compensation,Universal Voluntary Accounts,,
Wage and Labor Standards,Closing Wage Theft Loopholes,Labor Rights and Protections,Wages and Compensation,Wage Law Enforcement,,
Organizing and Meeting in Workplace,General Whistleblower Laws,Labor Rights and Protections,Access to Employment and Job Protection,Whistleblower Protection,,
,,Labor Rights and Protections,Access to Employment and Job Protection,Work Share,,
Wage and Labor Standards,Warn Act For States,Labor Rights and Protections,Access to Employment and Job Protection,Worker Adjustment and Retraining Notification (WARN),,
,,Labor Rights and Protections,Job and Workplace Standards,Worker and Community Right to Know,,
Sentencing Reform,Alternatives To incarceration,Public Safety,Sentencing Reform,Alternatives to Incarceration,,
,,Public Safety,Prison Reform,Anti-Shackling Laws for Pregnant Inmates,,
Recidivism Reduction/ Post-incarceration,Corrections Impact Statement On Legislation,Public Safety,Recidivism Reduction and Post-Incarceration Programming,Corrections Impact Statement on Legislation,,
Sentencing Reform,Death Penalty Reform,Public Safety,Sentencing Reform,Death Penalty Reform,,
Probation/Early Release/Parole Reform,Expanding Earned Time Policies,Public Safety,Probation and Early Parole Reform,Earned Time Expansion,,
,,Public Safety,Recidivism Reduction and Post-Incarceration Programming,Equal Access to Employment for People with Criminal Records,,
Recidivism Reduction/ Post-incarceration,"Evidence-Based Supervision, Treatment and intervention",Public Safety,Recidivism Reduction and Post-Incarceration Programming,"Evidence-Based Supervision, Treatment and Intervention",,
Protections For The Wrongly Accused,Eyewitness Id,Public Safety,Protections for the Wrongly Accused,Eyewitness Identification,,
Targeted Crime Prevention,Human Trafficking,Public Safety,Human Trafficking,Human Trafficking Prevention and Enforcement,,
Targeted Crime Prevention,Identity Theft,Public Safety,Identity Theft,Identity Theft Prevention and Enforcement,,
Pre- incarceration / Crime Prevention/ Juveniles,increasing Early interventions For At-Risk Youth/Supporting Youth Re-Entry,Public Safety,Early Intervention and Juvenile Crime Prevention,Increasing Early Interventions for At-Risk Youth,,
Protections For The Wrongly Accused,innocence Protection,Public Safety,Protections for the Wrongly Accused,Innocence Protection,,
Pre- incarceration / Crime Prevention/ Juveniles,Juvenile Detention,Public Safety,Early Intervention and Juvenile Crime Prevention,Juvenile Detention Reform,,
Pre- incarceration / Crime Prevention/ Juveniles,Juvenile Transfer Reform,Public Safety,Early Intervention and Juvenile Crime Prevention,Juvenile Transfer Reform,,
Pre- incarceration / Crime Prevention/ Juveniles,Juvenile Waiver,Public Safety,Early Intervention and Juvenile Crime Prevention,Juvenile Waiver,,
Policing,Secure Communities Opt-out,Public Safety,Local and State Enforcement of Federal Law,Limiting State and Local Participation in Secure Communities,"Secure Communities is a program of the Dept of Homeland Security's US Immigration and Customs Enforcement (ICE) agency ostensibly intended to identify and deport dangerous non-citizens previously convicted of crimes. Whereas local and state law enforcement have traditionally run fingerprint checks for every person booked into jail against the FBI's IAFIS criminal database, Secure Communities also runs those fingerprints against DHS's IDENT database and allows ICE to request detainers on individuals who match. in fact, half the people arrested and deported under S-Comm or more have not previously been convicted of a serious crime. By subjecting individuals with no or minor criminal convictions to deportation, S-Comm disrupts families and communities, encourages racial and ethnic profiling, and burdens taxpayers. After originally agreeing to allow communities to opt-out of the program, DHS subsequently refused to allow opting out and in 2013 will make participation mandatory. Cook County, IL has refused to cooperate with the program and both California and DC have passed legislation limiting local compliance. ",
,,Public Safety,Local and State Enforcement of Federal Law,Prohibition on Local Enforcement of Immigration Laws,"The Immigration and Nationality Act (inA) and the Antiterrorism and Effective Death Penalty Act of 1996 (AEDPA) authorize state and local police to enforce the criminal provisions of federal immigration laws. Recently at issue is the power of state and local law enforcement to make arrests or otherwise enforce the civil provisions of the immigration laws. Turning local police into the inS deters immigrants from accessing or cooperating with the police for fear of immigration consequences. When immigrants are afraid to file claims with administrative agencies, call the police, or go to court, immigrants can’t benefit from the protections of law enforcement. Claiming that state and local law enforcement officers have the inherent authority to enforce federal immigration laws wholly contradicts the long-standing principle that immigration matters are a federal concern and would render sections of the inA detailing the conditions for state and local enforcement of immigration laws meaningless. Comprehensive model language would include the points outlined in the Model Confidentiality Provisions in addition to a clear prohibition on the use of state and local resources for immigration law enforcement.",
,,Public Safety,Prison Reform,Protection from Prison Rape,,
,,Public Safety,Sentencing Reform,Racial Disparity in Death Penalty Sentencing,,
,,Public Safety,Probation and Early Parole Reform,"Racial Impact Statements Regarding Sentencing, Probation or Parole",,
,,Public Safety,Sentencing Reform,"Racial Impact Statements Regarding Sentencing, Probation or Parole",,
Recidivism Reduction/ Post-incarceration,Performance incentive Funding For Recidivism and Crime Reduction,Public Safety,Recidivism Reduction and Post-Incarceration Programming,Re-Enfranchise Ex-Felons,,
Recidivism Reduction/ Post-incarceration,Recidivism Reductions,Public Safety,Recidivism Reduction and Post-Incarceration Programming,Recidivism Reduction Measures and Performance Incentive Funding,x,
Protections For The Wrongly Accused,Recording interrogations,Public Safety,Recidivism Reduction and Post-Incarceration Programming,Recidivism Reductions Omnibus Bill,,
,,Public Safety,Protections for the Wrongly Accused,Recording Interrogations,,
Prison Reform,Prison Privatization,Public Safety,Prison Reform,Reduce Prison Privatization,,
Recidivism Reduction/ Post-incarceration,Reintegration of Ex-offenders (Jobs Programs),Public Safety,Recidivism Reduction and Post-Incarceration Programming,Reintegration of Ex-offenders,,
Targeted Crime Prevention,Hate Crime Prevention,Public Safety,Hate Crimes,Stiffer Penalties for Hate Crimes,,
,,Public Safety,Protections for the Wrongly Accused,Stop Racial Profiling by Police,"People of color are disproportionately subject to police action. A number of states have passed legislation both to prohibit racial profiling and to collect statistics on arrests and the stopping of cars. For example, New Jersey enacted a law in 2003 that makes racial profiling by police a felony, while North Carolina makes all data collected on profiling by the police available to the public.",
Repro Rights in Prison,Anti-Shackling Laws For Pregnant inmates,Reproductive Rights,Reproductive Rights in Prison,Anti-Shackling Laws for Pregnant Inmates,,
,,Reproductive Rights,Abortion Rights,Clinic Buffer Zone,,
Access To Clinics,Buffer Zone,Reproductive Rights,Reproductive Health Clinics,Clinic Buffer Zone,,
Abortion Rights,Codifying Roe V. Wade,Reproductive Rights,Abortion Rights,Codifying Roe V. Wade,,
Health Education in Schools,Comprehensive Sex and Hiv Education,Reproductive Rights,Reproductive and Sex Education,Comprehensive Sex and HIV Education,,
,,Reproductive Rights,Birth Control and Emergency Contraception,Contraceptive Equity,,
Health Education in Schools,Dating Violence Education,Reproductive Rights,Reproductive and Sex Education,Dating Violence Education,,
Pregnancy Crisis Centers,Disclosure of (Non) information ,Reproductive Rights,Reproductive Health Clinics,Disclosure of (Non) Information ,,
Equality of Conscience Clause,Conscience Clause,Reproductive Rights,Abortion Rights,Equality of Conscience Clause,,
Women's Reproductive Health,Free Access To Gynocological Services,Reproductive Rights,Women's Health ,Free Access to Gynecological Services,,
Birth Control,Pharmacy Must Fill Birth Control Prescription,Reproductive Rights,Birth Control and Emergency Contraception,Mandatory Pharmacy Compliance with Prescriptions,,
Abortion Rights,Medicaid Coverage,Reproductive Rights,Abortion Rights,Medicaid Coverage,,
Emergency Contraception,Pharmacy Access To Ec (Trained Pharmacists Can Give Prescription),Reproductive Rights,Birth Control and Emergency Contraception,Pharmacy Access to Emergency Contraception,,
,,Reproductive Rights,Women's Health,Prenatal Care for Women Regardless of Immigration Status,,
Abortion Rights,Protection For Teens,Reproductive Rights,Abortion Rights,Protection for Teens,,
,,Reproductive Rights,Abortion Rights,Protection from Clinic Violence,,
Access To Clinics,Protection From Clinic Violence,Reproductive Rights,Reproductive Health Clinics,Protection from Clinic Violence,,
Repro Rights in Prison,Prison Rape,Reproductive Rights,Reproductive Rights in Prison,Protection from Prison Rape,,
"""Parity"" Bills",Viagra Prostate Exam,Reproductive Rights,Parity Bills,Provision of Viagra Prostate Exam,,
Emergency Contraception,Hospitals To Provide Ec To Rape Victims,Reproductive Rights,Birth Control and Emergency Contraception,Rape Survivor Access to Emergency Contraception at Hospitals,,
,,Reproductive Rights,Women's Health,Right to Nurse in Workplace,,needs new sub-area or take out
Emergency Contraception,State Medicaid Coverage of Ec,Reproductive Rights,Birth Control and Emergency Contraception,State Medicaid Coverage of Emergency Contraception,,
,,Revenue and Budget,School Financing,Adequacy Based School Funding,,
,,Revenue and Budget,School Financing,After-School Programs,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Agricultural Cooperative Subsidies,,
Tax Reform - General,Broaden Sales Tax Base To include Services,Revenue and Budget,Sales Tax Reform,Broaden Sales Tax Base to Include Services,,
,,Revenue and Budget,Environmental Tax,Carbon Tax,,
,,Revenue and Budget,Environmental Tax,Climate Action Plan Excise Tax,,
Tax Reform - Business,Combined Reporting,Revenue and Budget,Business Tax and Subsidy Reform,Combined Reporting,,
,,Revenue and Budget,Transparency,Combined Reporting,,
,,Revenue and Budget,Transparency,Compilation of State Tax Return Data,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Corporate Tax Disclosure Requirements,,
Tax Reform - Reporting and Transparency,Corporate Tax Disclosure Requirements,Revenue and Budget,Transparency,Corporate Tax Disclosure Requirements,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Decoupling State and Federal Tax Policy,,
Tax Reform - individual,Decoupling From Federal Tax Policy More Generally,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Decoupling State and Federal Tax Policy,,
Tax Reform - individual,Deferral of Property Tax Payments,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Deferral of Property Tax Payments,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Dependent Care Tax Credit,,
,,Revenue and Budget,Transparency,Disclosure of Reportable Transactions,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Earned income Tax Credit and Tax Exemptions,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Employer-Assisted Housing Tax Credit,,
,,Revenue and Budget,Business Tax and Subsidy Reform,End Sales Tax Subsidy Abuse,,
Tax Reform - Reporting and Transparency,End Sales Tax Subsidy Abuse,Revenue and Budget,Sales Tax Reform,End Sales Tax Subsidy Abuse,,
,,Revenue and Budget,Business Tax and Subsidy Reform,End Use of Abusive Tax Shelters,,
Tax Reform - individual,End Use of Abusive Tax Shelters,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",End Use of Abusive Tax Shelters,,
,,Revenue and Budget,Transparency,End Use of Abusive Tax Shelters,,
Tax Reform - individual,Estate Tax Decoupling,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Estate Tax Decoupling,,
,,Revenue and Budget,Transparency,Evidence-Based Privatization,,
,,Revenue and Budget,Transparency,Freedom of Information,,
Tax Reform - General,Improve Tax Collections On internet Sales (including Affiliate Websites),Revenue and Budget,Sales Tax Reform,Improve Tax Collections on Internet Sales,,
Tax Reform - individual,"income Tax On High Earners To Fund Education, Health Care and Middle Class Tax Relief",Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Income Tax on High Earners ,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Infrastructure Tax Credits,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Limited Liability Low Profit Company,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Model Statute on Disclosure of Reportable Transactions,,
Tax Reform - individual,Model Statute On Disclosure of Reportable Transactions,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Model Statute on Disclosure of Reportable Transactions,,
,,Revenue and Budget,Transparency,Open Source Policy,,
Tax Reform - individual,Property Tax Circuit Breaker,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Property Tax Circuit Breaker,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Property Tax Reduction and Abatement Report,,
Tax Reform - Business,Small Business Tax Credits,Revenue and Budget,Business Tax and Subsidy Reform,Small Business Tax Credits,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Social Security Income and Social Security Disability Income Tax Credit,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Social Security Reform,,
,,Revenue and Budget,Transparency,State and Public Access to Highly Valued Contract,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Subsidy Limits and Job Quality Standards,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Subsidy Transparency and Clawbacks,,
Tax Reform - Reporting and Transparency,Subsidy Transparency and Clawbacks (See Also Under Economic Development),Revenue and Budget,Transparency,Subsidy Transparency and Clawbacks,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Sunset Sales Tax Exemptions,,
Tax Reform - Reporting and Transparency,Sunset Sales Tax Exemptions,Revenue and Budget,Sales Tax Reform,Sunset Sales Tax Exemptions,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Sunset Tax Expenditures,,
Tax Reform - Reporting and Transparency,Sunset Tax Expenditures,Revenue and Budget,Sales Tax Reform,Sunset Tax Expenditures,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Tax Breaks for Grocery Stores that Locate in Food Deserts,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Tax Credit for In-State College and Work,,
,,Revenue and Budget,Transparency,Tax Expenditure Cost Benefit Analysis,,
Tax Reform - Reporting and Transparency,Tax Expenditure Reporting (See Also Under Economic Development - Standards and Accountability,Revenue and Budget,Transparency,Tax Expenditure Reporting,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Tax Increase to Meet Revenue Shortfalls,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Tax Increase to Meet Revenue Shortfalls,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Unified Development Budgets,,
,,Revenue and Budget,Business Tax and Subsidy Reform,Unified Economic Development Budget and Reporting,,
Tax Reform - Reporting and Transparency,Unified Economic Development Budget/Unified Reporting,Revenue and Budget,Transparency,Unified Economic Development Budget and Reporting,,
,,Revenue and Budget,"Individual Income, Property and Wealth Tax Reform",Value Capture Finance,,
State Windfall Profits Tax On Oil,Privilege Tax On Petroleum / Windfall Profit Tax On Oil,Revenue and Budget,Business Tax and Subsidy Reform,Windfall Profit Tax on Oil,,
Voting and Election Reform,Ballot initiative Reform,Voting and Elections,Voting and Election Reform,Ballot Initiative Reform,,
Financing/ Lobbying,"Campaign Finance Reform – Set Requirements For Public Disclosure of Donations, Ads, Expenditures Etc.",Voting and Elections,Financing and Lobbying,Campaign Finance Reform,,
Financing/ Lobbying,Corporate Personhood Resolution,Voting and Elections,Financing and Lobbying,Corporate Personhood Resolution,,
,,Voting and Elections,Voting and Election Reform,Cumulative Voting,,
Voting and Election Reform,Early Voting,Voting and Elections,Voting and Election Reform,Early Voting,,
Voter Registration,Election Day Registration,Voting and Elections,Voter Registration,Election Day Registration,,
Electoral Districts,End Prison-Based Gerrymandering,Voting and Elections,Electoral Districts,End Prison-Based Gerrymandering,,
Voting and Election Reform,Voter List Management Reform/End Unneeded Id Requirements,Voting and Elections,Voting and Election Reform,End Unneeded ID Requirements,,
Voter Rights,End Voter intimidation and Caging,Voting and Elections,Voter Rights,End Voter Intimidation and Caging,,
Voting and Election Reform,Fusion Voting,Voting and Elections,Voting and Election Reform,Fusion Voting,,
,,Voting and Elections,Voter Education,High School Civics Education,,
Voting and Election Reform,instant Run-off Voting,Voting and Elections,Voting and Election Reform,Instant Run-Off Voting,,
Financing/ Lobbying,Judicial Campaign Public Financing,Voting and Elections,Financing and Lobbying,Judicial Campaign Public Financing,,
Financing/ Lobbying,Lobbying Reform,Voting and Elections,Financing and Lobbying,Lobbying Reform,,
Voter Registration,Mail-in Registration/Ballots,Voting and Elections,Voter Registration,Mail-In Registration and Ballots,,
Voter Registration,Modernize and Automate Voter Registration,Voting and Elections,Voter Registration,Modernize and Automate Voter Registration,,
Voting and Election Reform,National Popular Vote Compact (Npvc),Voting and Elections,Voting and Election Reform,National Popular Vote Compact (NPVC),,
Voter Registration,National Voter Registration Act (Nvra) Compliance,Voting and Elections,Voter Registration,National Voter Registration Act (NVRA) Compliance,,
Voting and Election Reform,No-Excuse Absentee Voting,Voting and Elections,Voting and Election Reform,No-Excuse Absentee Voting,,
Voter Registration,Online Voter Registration,Voting and Elections,Voter Registration,Online Voter Registration,,
,,Voting and Elections,Financing and Lobbying,Pay to Play Contribution Limits,,
Financing/ Lobbying,Public Financing of Elections,Voting and Elections,Financing and Lobbying,Public Financing of Elections,,
Voter Rights,Re-Enfranchise Ex-Felons,Voting and Elections,Voter Rights,Re-Enfranchise Ex-Felons,,
Electoral Districts,Redistricting Reform,Voting and Elections,Electoral Districts,Redistricting Reform,,
,,Voting and Elections,Voting and Election Reform,School Board Election Reform,,
Voter Registration,Universal Voter Registration With Opt-Out Provision,Voting and Elections,Voter Registration,Universal Voter Registration with Opt-Out Provision,,
,,Voting and Elections,Voting and Election Reform,Voter List Management,,
,,Voting and Elections,Voter Registration,Voter Registration Assistance Services,,
Voter Registration,Youth Voter Registration,Voting and Elections,Voter Registration,Youth Voter Registration,,
