Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
Complete Streets,North Carolina Complete Streets Policy,,2009,North Carolina Department of Transportation ,http://www.nccompletestreets.org/policy.asp,North Carolina,Support,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Complete_Streets/North_Carolina_Complete_Streets_Policy.pdf,,,"Complete Streets is North Carolina’s approach to interdependent, 
multi-modal transportation networks that safely accommodate access and 
travel for all users.",,,,"Public Transportation, Bike Policy, Urban Planning",
Divesting Government Funds from Banks that do not Cooperate with Foreclosure Prevention Efforts ,2009 Los Angeles City Council Motion,,2009,Los Angeles City Council,http://www.lacity.org/YourGovernment/CityCouncil/index.htm,California,Exemplary,Municipal,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Divesting_Government_Funds_from_Banks_that_do_not_Cooperate_with_Foreclosure_Prevention_Efforts/2009_Los_Angeles_City_Council_Motion.pdf,,,"A motion requiring that municipal agencies report within thirty days on the potential divestiture of all deposits in banking and other financial institutions that fail to cooperate with foreclosure prevention efforts that include temporary moratoriums on foreclosures, renegotiation of mortgage principles to reflect current values, and good faith negotiations with mortgagees.",,,,"Foreclosure, ",
Early College High School Initiative,Innovations in College Readiness: How Early College Schools are Preparing Students Underrepresented in Higher Education for College Success ,,2009,Jobs for the Future,http://www.jff.org/,"California, Massachusetts, New York, Texas",Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Early_College_High_School_Initiative/2009_Innovations_in_College_Readiness.pdf,,,"Innovations in College Readiness describes a young national 
effort—the Early College High School Initiative—that in seven years has 
made headway in contesting those trends. The initiative has done so by 
focusing on the same challenge President Obama enunciated: getting more 
students prepared for and successfully completing postsecondary 
education",,,,"Dual Degree, College Credit Early College Education",
Teacher Development,A Teacher Development Continuum: The Role of Policy in Creatinga Supportive Pathway into the Profession,,2009,New Teacher Center,http://www.newteachercenter.org/,,Support,"State, Municipal",Report,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Teacher_Development/2009_A_Teacher_Development_Continuum_The_Role_of_Policy.pdf,,,"As a growing number of experienced teachers begin to retire, supporting 
the cadre of new educators who will replace them to become more 
effective more quickly will be a primary goal of policy makers and 
educators in the coming years.  A report coming from a policy roundtable
 on pre-service/induction linkages in May 2008, this Policy Brief 
discusses how the learning curve of new teachers presents challenges to 
student achievement and provides a new vision for teacher development 
supported by a host of promising examples. ",,,,,
Broadening the Tax Base to Include Taxing Services,Expanding Sales Taxation of Services: Options and Issues,,2009,Center on Budget and Policy Priorities,http://www.cbpp.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Broadening_the_Tax_Base_to_Include_Taxing_Services/Expanding_Sales_Taxation_of_Service_Options_and_Issues.pdf,,,"A report on the benefits of expanding state sales tax to including taxing services in addition to goods. Levying sales taxes on services makes state tax systems fairer, 
more stable, more economically neutral, and easier to administer.  Moreover, because state sales 
taxes are a major source of funding for schools, universities, health care, public safety, and other 
functions of state and local government, adding services to state sales tax bases can help states 
maintain their support for those functions, for instance during an economic downturn when state 
revenues are declining. ",,,,,
Combined Reporting,Combined Reporting: How Closing Corporate Loopholes Benefits Wisconsin,,2009,Institute for Wisconsin's Future,http://www.wisconsinsfuture.org/,Wisconsin,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Combined_Reporting/Combined_Reporting_How_Closing_Corporate_Loopholes_Benefits_Wisconsin.pdf,,,"A report on how combined reporting closes 
tax law loopholes that allow very large multi-state corporations to shift profits out of Wisconsin in order to 
minimize or avoid paying state income tax. The report looks at how combined reporting affects the state economy, business competitiveness and employment.",,,,,
Minimum Wage Increase and Index,Fix It and Forget It: Index the Minimum Wage to Growth in Average Wages,,2009,Economic Policy Institute,http://www.epi.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Minimum_Wage-Increase_and_Index/Fix_it_and_Forget_it.pdf,,,"Report on how raising and indexing the minimum wage benefits workers, employers and the economy",,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development,",
Complete Streets,5 Easy Pieces Complete Streets Transportation,,2009,Center for State Innovation,http://www.stateinnovation.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Complete_Streets/5_Easy_Pieces_Complete_Streets_Transportation.pdf,,,Report on complete streets policies,,,,"Public Transportation, Bike Policy, Urban Planning",
Efficient Location of Public Buildings,5 Easy Pieces Locate State Office Buildings Downtown,,2009,Center for State Innovation,http://www.stateinnovation.org/,,Support,"State, County, Municipal",Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Efficient_Location_of_Public_Buildings/5_Easy_Pieces_Locate_State_Office_Buildings_Downtown.pdf,,,Brief on why governments should locate government offices in city centers and near public transportation,,,,"Public Transportation, Government Performance",
Fix It First,5 Easy Pieces Fix It First,,2009,Center for State Innovation,http://www.stateinnovation.org/,"North Dakota, Michigan, New Jersey",Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Fix_It_First/5_Easy_Pieces_Fix_It_First.pdf,,, Fix-it-first (or system preservation) policies prioritize investments in the maintenance and reconstruction of existing infrastructure over the construction of new road capacity. ,,,,"System Preservation, Economic Development, Urban Planning, Public Transportation",
Pay As You Drive Car Insurance,5 Easy Pieces Pay As You Drive Insurance,,2009,Center for State Innovation,http://www.stateinnovation.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Pay_As_You_Drive_Car_Insurance/5_Easy_Pieces_Pay_As_You_Drive_Insurance.pdf,,,Summary of Pay As Your Drive Insurance Programs,,,,"Insurance, Mile Based Rating Plans, Time Based Rating Plan, PAYD",
Transit Oriented Development,Getting on Track: Record Transit Ridership Increases,,2009,Environment Minnesota Research and Policy Center,http://www.environmentminnesotacenter.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Transit-Oriented_Development/Getting_on_Track_Record_Transit_Ridership_Increases.pdf,,,"This report details the dramatic growth of public transportationin 2008, and the corresponding energy and environmentalbenefits. These details are viewed in light of fewer miles drivenin most states last year. It also documents transit growth acrossthe country continuing into this year, highlights future potentialbenefits and outlines ways to improve the state of publictransportation.",,,,"Mass Transit, Transit Oriented Development, Public Transportation",
Transit Oriented Development,Central Maryland TOD Strategy: A Regional Action Plan for Transit-Centered Communities,,2009,Center for Transit Oriented Development,http://ctod.org/,Maryland ,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Transit-Oriented_Development/Central_Maryland_TOD_Strategy_A_Regional_Action_Plan_for_Transit_Centered_Communities.pdf,,,This report has been developed through a year-long process of identifying challenges and opportunities for transitorienteddevelopment in Central Maryland through a mix of qualitative and quantitative analysis,,,,"Mass Transit, Transit Oriented Development, Public Transportation",
Low Income Access to Farmers' Markets,State Implementation of the New WIC Produce Package: Opportunities and Barriers for WIC Clients to Use Their Benefits at Farmers' Markets,,2009,"Community Food Security Coalition, Inc. ",http://foodsecurity.org/category/home/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Health/Low_Income_Access_to_Farmers'_Markets/2009_WIC_Farmers_Market_Report.pdf,,,This report provides an overview of the current status of the new WIC Package Rule and the issue of states authorizing farmers as vendors for the new cash valuevouchers for fruits and vegetables.,,,,"Electronic Benefit Transfer, Farmer's Markets, EBT, Public Benefits, Food Stamps,",
Local Purchasing Preferences, The Economic Impact of the Small Business and Disabled Veteran Business Enterprise Programs on the State of California,,2009,"Sanjay B. Varshney and Dennis H. Tootelian, California State University, Sacramento  ",,California,Support,State,Report ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Local_Purchasing_Preferences/The_Economic_Impact_of_the_Small_Business_and_Disabled_Veteran_Business_Enterprise_Programs_on_the_State_of_California.pdf,,,"The purpose of this study is to assess the economic impact of Department of 
General Services programs to promote opportunities for small businesses and disabled veteran business enterprise programs in the state of California. ",,,,"Small Business, Government Procurement, Government Contracting,",
Green Building Requirements,Model Green Buildings And Job Creation Act,,2010,Progressive States Network ,http://www.progressivestates.org/,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Green_Building_Requirements_and_Updated_Building_Codes/Model_Green_Buildings_And_Job_Creation_Act.pdf,,,"This Model law adopts standards [LEED or other] for the construction or renovation of public buildings and puts forth opportunities to use Federal recovery funds for the purposes of energy efficiency opportunities, both residential and public.",,,,,
Revolving Loan Fund or Tax Credits for Building Energy Improvements,2010 Maryland Chapter 487,The Sustainable Communities Act of 2010,2010,Maryland Legislature ,http://mlis.state.md.us/,Maryland ,Exemplary ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Revolving_Loan_Fund_or_Tax_Credits_for_Building_Energy_Improvements/2010_Maryland_Chapter_487.pdf,,,"Allows for tax credits  to help stimulate local economies, create construction jobs and support ecologically friendly development. ",2010 Maryland House Bill 475,,http://mlis.state.md.us/2010rs/billfile/hb0475.htm,,
Revolving Loan Fund or Tax Credits for Building Energy Improvements,Green Buildings and Job Creation Model Legislation,,2010,Progressive States Network ,http://www.progressivestates.org/,,Model ,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Revolving_Loan_Fund_or_Tax_Credits_for_Building_Energy_Improvements/Green_Buildings_And_Job_Creation_Model_Legislation.pdf,,,"The Green Buildings Act adopts standards [LEED or other] for the construction or renovation of public buildings and puts forth opportunities to use Federal recovery funds for the purposes of energy efficiency opportunities, both residential and public.",,,,,
Smart Grid,2010 Colorado Chapter 428,,2010,Colorado Legislature ,http://www.leg.state.co.us/clics/clics2012B/cslFrontPages.nsf/HomeSplash?OpenForm,Colorado,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Smart_grid/2010_Colorado_Chapter_428.pdf,,,"Concerning the development of a smart grid for Colorado, and, in connection therewith, convening a task force to recommend legislative and administrative measures to encourage the orderly implementation of smart grid technology in Colorado.

",2010 Colorado Senate Bill 10-180,,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont3/B224D2C323CB89D2872576D20078009A?open&file=180_enr.pdf,,
Smart Grid,2010 Maine Chapter 539,,2010,Maine Legislature,http://www.maine.gov/legis/,Maine,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Smart_grid//2010_Maine_Chapter_539.pdf,,,An Act To Create a Smart Grid Policy in the State,2010 Maine House Paper 1535,,http://www.mainelegislature.org/legis/bills/display_ps.asp?ld=1535&PID=1456&snum=124,,
Worker and Community Right to Know,2010 New Jersey Chapter 59,Worker and Community Right to Know Act,2010,New Jersey Legislature ,http://www.njleg.state.nj.us/,New Jersey ,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Worker_and_Community_Right_to_Know/2010_New_Jersey_Chapter_59.pdf,,,Sets standards related to labeling and reporting for employers. ,,,,,
Local Purchasing Preferences,Cleveland Ordinances Chapter 187A,"Local Producer, Local-Food Purchaser, and Sustainable Business Preference Code",2010,Council of the City of Cleveland,http://www.clevelandcitycouncil.org/,Ohio,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Local_Purchasing_Preferences/Cleveland_Ordinances_Chapter_187A.pdf,,,"An ordinance encouraging government entities to purchase locally grown food by providing local producers a bid preference depending on whether the producer is local, sustainable, or a combination of both.",Ordinance Number 1660-A-09,,,"Local Procurement, Local Food, Government Procurement, Government Contacting, Sustainability, Sustainable Business, ",
Pay to Play Contribution Limits,Pay to Play Model Ordinance,,2010,Press of Atlantic City,http://www.pressofatlanticcity.com/,New Jersey,Model,County/Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Pay_to_Play_Contribution_Limits/Pay_to_Play_Model_Ordinance.pdf,,,"An act that limits the amount businesses may contribute to candidates, 
political parties or office holders; an entity that contributes more 
than the limit becomes ineligible to participate in government contacts.
 ",,,,"Government Contract, Public Contract,
 Government Procurement, Service Contracts, Campaign Contribution, Pay to Play",
Improve Tax Collections on Internet Sales ,2010 Colorado Session Laws Chapter 9 ,Sales Tax-Out of State Retailers,2010,Colorado Legislature,http://www.leg.state.co.us/clics/clics2012B/cslFrontPages.nsf/HomeSplash?OpenForm,Colorado,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Improve_Tax_Collections_on_Internet_Sales/2010_Colorado_Session_Laws_Chapter_9.pdf,,,"An act requiring a retailer to collect sales tax from a person residing in this state only if the retailer has sufficient connections with this state. The act articulates a presumption that any out-of-state retailer that has a referral relationship with an affiliate has an obligation to collect sales tax. The presumption may be rebutted by the out-of-state retailer if the retailer can show that the affiliate with whom the retailer has such a relationship did not engage in active solicitation. The act also specifies that, for purposes of any efforts to collect use tax, the executive director of the department of revenue may issue a subpoena to any out-of-state retailer if the out-of-state retailer refuses to voluntarily furnish specific information when requested and may take the out-of-state retailer's testimony under oath.",2010 Colorado House Bill 10-1193,http://www.leg.state.co.us/CLICS/CLICS2010A/csl.nsf/fsbillcont3/B30F574193882B4B872576A80026BE0C?Open&file=1193_enr.pdf,http://www.leg.state.co.us/CLICS/CLICS2010A/csl.nsf/fsbillcont3/B30F574193882B4B872576A80026BE0C?Open&file=1193_enr.pdf,,
Subsidy Transparency and Clawbacks,2010 New Mexico Chapter 87 ,,2010,New Mexico Legislature,http://www.nmlegis.gov/lcs/,New Mexico,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Subsidy_Transparency_and_Clawbacks/2010_New_Mexico_Chapter_87.pdf,,,,2010 New Mexico Senate Bill 47,http://www.nmlegis.gov/Sessions/10%20Regular/bills/senate/SB0047.pdf,,,
Expanded Paid Family Leave,2010 Model Paid Family Leave Statute,,2010,A Better Balance  ,http://www.abetterbalance.org/,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Expanded_Paid_Family_Leave/2010_Model_Paid_Family_Leave_Statute.pdf,,,"Requires employers to provide employees with up to 12 or 24 weeks of paid leave per year, depending on the cause for taking leave. Paid leave under the bill can be taken in cases of birth, adoption, placement through foster care, caring for a member with serious health issues, the presence of a serious health conditions, and in cases where a family member is taking military leave.",,,,"Paid Leave, FMLA, Family Medical Leave Act, ",
Municipal Business Registry,2010 Fayetteville Ordinance 5347,,2010,Fayetteville City Council,http://www.accessfayetteville.org/government/city_council/index.cfm,Arkansas,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Municipal_Business_Registry/2010_Fayetteville_Ordinance_5347.pdf,,,Establishes municipal licensure program for private businesses and nonprofit organizations. Creates license fee to administer program. Requires annual applications for license.  ,,,,Wage Theft,
Wage Law Enforcement,2010 Miami-Dade Ordinance 10-16,,2010,Miami-Dade Board of County Commissioners,http://www.miamidade.gov/commiss/,Florida,Exemplary,County,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/2010_Miami_Dade_Ordinance_10_16.pdf,,,"Establishing wage theft ordinance. Prohibits wage theft, sets procedure county adjudication of wage theft complaints. ",2010 Miami-Dade File Number 093228,,http://www.miamidade.gov/govaction/matter.asp?matter=100638&file=false&yearFolder=Y2010,Wage Theft,
Wage Law Enforcement,2010 Washington Chapter 42,Improving Administration of Wage Complaints,2010,Washington State House,http://www.leg.wa.gov/house/Pages/default.aspx,Washington,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/2010_Washington_Chapter_42.pdf,,,"Allows state enforcement agency additional time to investigate wage theft claims. Provides that, if the enforcement department has found a violation, wages and interest must be paid from the time wages were first owed to the employee. Increases penalties for wage theft violations. Requires that successor owners of businesses that owe wage claims be responsible for paying the claim. Provides for an additional penalty against repeat offenders. ",2010 Washington House Bill 3145,http://apps.leg.wa.gov/documents/billdocs/2009-10/Pdf/Bills/House%20Bills/3145.pdf,http://www.capitol.state.tx.us/BillLookup/Actions.aspx?LegSess=82R&Bill=SB1024,Wage Theft,
Wage Law Enforcement,2010 New York Chapter 564,Wage Theft Prevention Act,2010,New York State Senate,http://www.nysenate.gov/,New York,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/2010_New_York_Chapter_564.pdf,,,Requires that employers provide notice to employees about rate of pay and other relevant information. Provides additional protections against retaliation by employers against employees in wage theft cases.,2009 Senate Bill 8380,,http://assembly.state.ny.us/leg/?default_fld=&bn=S08380&term=2009&Actions=Y,"Wage Theft, Retaliation, ",
Wage Law Enforcement,2010 Illinois Public Act 096-1407,,2010,Illinois State Senate,http://www.ilga.gov/senate/,Illinois,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/2010_Illinois_Public_Act_096_1407.pdf,,,"Expands definition of employer to include those with day-to-day operational control of an organization. Creates an administrative process within the state enforcement agency to adjudicate wage theft claims under $3,000. Allows individuals bringing claims against an employer to collect attorney's fees. Increases civil and criminal penalties against offending employers. ",2010 Illinois Senate Bill 3568,http://www.ilga.gov/legislation/96/SB/PDF/09600SB3568.pdf,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=3568&GAID=10&DocTypeID=SB&SessionID=76&GA=96,Wage Theft,
Wage Law Enforcement,2010 Maryland Chapter 99,,2010,Maryland State Senate,http://mlis.state.md.us/,Maryland,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Wage_Law_Enforcement/2010_Maryland_Chapter_99.pdf,,,Provides that overtime wages are subject to the state's wage theft laws.,2010 Maryland Senate Bill 694,http://mlis.state.md.us/2010rs/bills/sb/sb0694f.pdf,http://mlis.state.md.us/2010rs/billfile/sb0694.htm#History,Wage Theft,
Whistleblower Protection,2010 Whistleblower Protections for Employees of Financial Institutions Model Act,,2010,Progressive States Network,http://www.progressivestates.org/,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Whistleblower_Protection_For_Employees_Of_Financial_Institutions/2010_Whistleblower_Protections_for_Employees_of_Financial_Institutions_Model_Act.pdf,,,Prevents financial institutions from firing employees due to whistleblowing activities or refusing to participate in activities thought to be illegal. ,,,,"Whistleblower, Retaliation",
Housing and Transportation Affordability Index,2010 Illinois Chapter 96-1255,Housing and Transportation Affordability Act,2010,Illinois legislature,http://www.ilga.gov/,Illinois,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Housing_and_Transportation_Affordability_Index/2010_Illinois_Chapter_96-1255.pdf,,,"This act creates the H+T Affordability Index, which combines the cost of housing with the cost of transportation to that housing's location in order to determine the true cost of living in that location; data would be used to create an index, and indexed data would be used in planning in order to develop housing in more affordable locations.",2010 Illinois Senate Bill 374; http://www.ilga.gov/legislation/96/SB/PDF/09600SB0374.pdf,,http://www.ilga.gov/legislation/billstatus.asp?DocNum=0374&GAID=10&GA=96&DocTypeID=SB&LegID=41236&SessionID=76&SpecSess=,,
Inclusionary Zoning,2010 Boulder Ordinance 7710,,2010,Boulder City Council,http://www.bouldercolorado.gov/index.php?option=com_content&task=view&id=68&Itemid=130,Colorado ,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Inclusionary_Zoning/2010_Boulder_Ordinance_7710.pdf,,,"This ordinance: reenacts Boulder's inclusionary zoning law, which includes density bonuses for certain affordable unit inclusion amounts; sets annual adjustments of payments made in leiu of affordable unit inclusion and allows for certain percentages of off-site affordable unit construction; applies inclusionary housing requirements to redevelopment projects meeting certain criteria; sets standards for on-site affordable unit inclusion; requires certain dwelling construction standards: establishes certain residency and rental requirements and limitations.",,,,,
Inclusionary Zoning,2010 Chapel Hill Ordinance 2010-06-21-O-11,,2010,Chapel Hill City Council,http://www.ci.chapel-hill.nc.us/,North Carolina,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Inclusionary_Zoning/2010_Chapel_Hill_Ordinance_2010-06-21-O-11.pdf,,,"This ordinance mandates certain percentage of set-asides for affordable units for each covered development type, requires that affordable units be located within the development subject to this ordinance; and offers density bonuses for developments that meet certain percentages of affordable units.",,,,,
Unemployment Insurance Coverage For Part-Time Workers,2010 New Mexico Chapter 55,,2010,New Mexico legislature,http://www.nmlegis.gov/lcs/,New Mexico,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Coverage_For_Part-Time_Workers/2010_New_Mexico_Chapter_55.pdf,,,"Section I. of this act requires that no individual be deemed ineligible for benefits who is otherwise eligible for the reason that the individual seeks, applies for or accepts only part-time work, instead of full-time work, if the part-time work is for at least twenty hours per week.",2010 New Mexico House Bill 144; http://www.nmlegis.gov/Sessions/10%20Regular/bills/house/HB0144.pdf,,http://www.nmlegis.gov/lcs/_session.aspx?Chamber=H&LegType=B&LegNo=144&year=10,Unemployment benefits,
Unemployment Insurance Solvency,2010 South Carolina Chapter 234,,2010,South Carolina legislature,http://www.scstatehouse.gov/,South Carolina,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Solvency/2010_South_Carolina_Chapter_234.pdf,,,,2010 South Carolina Senate Bill 391; http://www.scstatehouse.gov/sess118_2009-2010/prever/391_20090210.htm,,http://www.scstatehouse.gov/sess118_2009-2010/bills/391.htm,Unemployment benefits,
Work Share,2010 New Jersey Chapter 154,,2010,New Jersey Legislature,http://www.njleg.state.nj.us/,New Jersey,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Work_Share/2010_New_Jersey_Chapter_154.pdf,,,"This act allows an employer with 10 or more employees working 1,500 hours or more per year to apply to the Division of Unemployment and Temporary Disability Insurance for approval to provide a shared work program, the purpose of which is to stabilize the employer’s work force during a period of economic disruption by permitting the sharing of the work remaining after a reduction in total hours of work.  In order to be approved, an employer must certifies that: that it will not hire additional part-time or full-time employees while short-time benefits are being paid; Agrees with the division not to reduce health insurance or pension coverage, paid time off, or other benefits provided to participating employees before the application was made, or make unreasonable revisions of workforce productivity standards; Certifies to the division that any collective bargaining agent representing the employees has entered into a written agreement with the employer regarding the terms of the program, including terms regarding attendance in training programs while receiving short-time benefits, and provides a copy of the agreement to the division; and Agrees to provide the division with whatever information the division deems necessary to administer the shared work program and monitor compliance with all agreements and certifications required pursuant to this section.  The act requires that in order to be eligible for short-time benefits, and individual: must work at least1,500 hours during the individual’s base year; works for the employer less than the individual’s normal full-time hours during the week, and the employer has reduced the individual’s weekly hours of work pursuant to a shared work program approved by the division; The percentage of the reduction of the individual’s work hours below the individual’s normal full-time hours during a week is not less than 10%, with a corresponding reduction of wages; The individual would be eligible for unemployment benefits other than short-time benefits during the week, if the individual was entirely unemployed during that week and applied for unemployment benefits other than short-time benefits; and During the week, the individual is able to work and is available to work the individual’s normal full-time hours for the shared work employer or is attending a training program which is in compliance with the provisions this act.",2010 New Jersey Senate Bill 1301,,http://www.njleg.state.nj.us/bills/BillView.asp,,
Audit of City Owned Land,New York City Council Int. Number 248-A,,2010,New York City Council,http://council.nyc.gov/html/committees/committees.shtml,New York,Exemplary ,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Audit_of_City_Owned_Land/New_York_City_Council_Number_248-A.pdf,,,"A Local Law to amend the administrative code of the city of New York, in relation to establishing reporting requirements for the department of citywide administrative services on the status of city-owned real property ",,,,"Government Accountability, ",
Aligning Skills and Jobs,Complete College Tennessee Act of 2010,Complete College Tennessee Act of 2010,2010,Tennessee Legislature,http://www.capitol.tn.gov/,Tennessee,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Aligning_Skills_and_Jobs/2010_Tennessee_Extraordinary_Session_Senate_Bill_7006.pdf,,,"Present law requires the Tennessee higher education commission (THEC) to develop a statewide master plan for future development of public higher education in this state (which includes the state technology centers).  THEC must develop county and 
regional profiles that frame planning objectives from a regional perspective.  Master planning goals include, but are not limited to: increasing educational attainment levels of Tennesseans; creating improved regional and statewide linkages with K-12 education to ensure that students are prepared for postsecondary education; and improving teacher education programs to ensure that graduates are prepared for the classroom. This bill revises the above-described provisions to require THEC to construct a statewide master plan that directs higher education to be accountable for increasing the educational attainment levels of Tennesseans.  This bill also requires THEC, in consultation with the respective governing boards, to approve institutional mission statements concurrent with the adoption of each 
revised statewide master plan.  Each institutional mission statement must characterize the institution's distinctiveness in degree offerings 
and address institutional accountability.
",2010 Tennessee Senate Bill 7006,http://www.capitol.tn.gov/Bills/106/Bill/SB7006.pdf,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB7006&ga=106,"Higher Education, University Tract Program, ",http://tn.gov/thec/complete_college_tn/ccta_summary.html
Benefits Corporations,2010 Maryland Senate Bill 690,,2010,Maryland Legislature,http://mlis.state.md.us/,Maryland ,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Benefits_Corporations/2010_Maryland_Senate_Bill_690.pdf,,,An act for the purpose of authorizing a corporation to elect to be a certain B (for–benefit) corporation by amending or including in the charter of the corporation a statement that the corporation is a B corporation,2010 Maryland Senate Bill 690,http://mlis.state.md.us/2010rs/bills/sb/sb0690f.pdf,http://mlis.state.md.us/2010rs/billfile/sb0690.htm,"Economic Development, Benefit Corporation, Corporate Responsibility, 
Corporate Transparancy, Public Purpose Corporation, Special Purpose 
Corporation,",
Benefits Corporations,2009-2010 Vermont Senate Bill 263,Vermont Benefits Corporation Act,2010,Vermont Legislature,http://www.leg.state.vt.us/,Vermont,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Benefits_Corporations/2009-2010_Vermont_Senate_Bill_263.pdf,,,"This act authorizes for-profit corporations to elect treatment as a ""benefit corporation."" Under the act, a benefit corporation must have as part of its corporate purpose the creation of ""general public benefit"" and is further required to have at least one independent benefit director and issue an annual benefit report to its shareholders.",2010 Vermont Senate Bill 263,http://www.leg.state.vt.us/docs/2010/bills/Intro/S-263.pdf,http://www.leg.state.vt.us/database/status/summary.cfm?Bill=S.0263&Session=2010,"Economic Development, Benefit Corporation, Corporate Responsibility, 
Corporate Transparancy, Public Purpose Corporation, Special Purpose 
Corporation,",
